magnitude,depth_km,lat,lng,dist_to_coast_km,central_pressure_hpa,max_wind_knots,wave_intensity,label
7.0,31.0,23.12,113.25,3125.5144034440764,,,2.0,tsunami
7.0,31.0,32.7,129.7,1196.5172169333496,,,2.0,tsunami
6.9,31.0,41.5,139.37,386.02812707945634,,,2.5,tsunami
7.0,31.0,14.6,120.98,3286.6924585252473,,,0.0,tsunami
7.0,31.0,-6.3,107.3,6057.170965280573,,,1.0,tsunami
7.0,31.0,-44.0,172.0,9663.428287022261,,,0.5,tsunami
7.0,31.0,-33.8,151.3,8083.6226467837305,,,-1.0,tsunami
7.0,31.0,43.4,16.7,9344.512341049975,,,2.0,tsunami
7.0,31.0,20.9,134.8,2021.5804925414452,,,1.5,tsunami
7.0,31.0,39.0,-28.0,11350.39345229599,,,1.5,tsunami
7.0,31.0,54.6,-165.0,4385.053682275275,,,1.5,tsunami
7.0,31.0,-33.8,151.3,8083.6226467837305,,,-1.0,tsunami
7.0,31.0,43.566,4.183,9931.916951124536,,,1.5,tsunami
7.0,31.0,52.37,4.53,9094.506003512173,,,1.5,tsunami
7.0,31.0,19.67,145.4,2110.6990207571616,,,1.0,tsunami
6.5,31.0,42.6,18.1,9336.710332804972,,,4.0,tsunami
7.0,31.0,-12.08,-77.0,15262.112359627672,,,1.0,tsunami
7.0,31.0,38.0,141.0,29.96970723169746,,,1.5,tsunami
7.0,31.0,54.0,-167.0,4252.972170356589,,,1.5,tsunami
7.0,31.0,11.67,92.73,5609.270492317052,,,1.5,tsunami
7.0,31.0,38.5,-28.0,11405.336364530516,,,1.5,tsunami
7.0,31.0,31.6,130.7,1196.8788386350545,,,1.0,tsunami
7.0,31.0,-33.62,-76.83,16592.410784871434,,,1.5,tsunami
7.0,31.0,-3.7,128.2,4850.027535424305,,,1.0,tsunami
7.0,31.0,54.0,-167.0,4252.972170356589,,,1.5,tsunami
7.0,31.0,16.8,-99.2,11252.897689176003,,,1.5,tsunami
6.0,31.0,36.404,25.396,9406.215625101127,,,4.0,tsunami
7.0,31.0,-5.0,105.0,6076.785324049388,,,1.5,tsunami
7.0,31.0,16.7,-99.2,11260.895057848486,,,1.5,tsunami
7.0,31.0,50.9,155.5,1806.2236515446336,,,1.5,tsunami
7.0,31.0,39.5,142.0,160.81705192245994,,,0.0,tsunami
7.0,31.0,-33.8,151.3,8083.6226467837305,,,-1.0,tsunami
7.0,31.0,20.6,134.8,2053.692685219674,,,1.5,tsunami
7.0,31.0,-9.0,121.0,5651.587522348102,,,1.0,tsunami
7.0,31.0,7.5,146.5,3465.3027618676333,,,1.5,tsunami
7.0,31.0,32.8,130.3,1144.0618374233366,,,2.5,tsunami
7.3,31.0,41.1,24.3,9105.695089344377,,,2.0,tsunami
7.0,31.0,24.0,121.83,2410.475814050126,,,1.5,tsunami
7.0,31.0,15.933,-61.267,13555.188794622789,,,1.5,tsunami
7.0,31.0,31.6,130.7,1196.8788386350545,,,1.0,tsunami
7.0,31.0,38.3,26.2,9207.953055085474,,,3.0,tsunami
7.0,31.0,31.6,130.7,1196.8788386350545,,,1.5,tsunami
7.0,31.0,1.37,125.1,4412.697163227259,,,1.0,tsunami
7.0,31.0,-14.214,-169.59,7774.53231192078,,,1.5,tsunami
7.0,31.0,62.36600000000001,17.333,7751.922431799262,,,1.5,tsunami
7.0,31.0,-31.61,-71.18,17004.07977780031,,,1.5,tsunami
6.1,31.0,36.4,25.3,9412.6348210684,,,1.5,tsunami
7.0,31.0,26.2,127.5,1844.9759162694093,,,0.5,tsunami
